checklist_item_id	department	ref	total_invocations_current_run	vision_invocations	semantic_search_invocations	other_tools	historical_reviews_counted	notes
SP-42	crc-sp-3	crc-sp-3:SP-42	4	4	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-43	crc-sp-3	crc-sp-3:SP-43	4	4	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-44	crc-sp-3	crc-sp-3:SP-44	6	4	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.1	crc-sp-3	crc-sp-3:SP-45.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.2	crc-sp-3	crc-sp-3:SP-45.2	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.3	crc-sp-3	crc-sp-3:SP-45.3	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.4	crc-sp-3	crc-sp-3:SP-45.4	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.5	crc-sp-3	crc-sp-3:SP-45.5	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.6	crc-sp-3	crc-sp-3:SP-45.6	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.7	crc-sp-3	crc-sp-3:SP-45.7	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.8	crc-sp-3	crc-sp-3:SP-45.8	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-45.9	crc-sp-3	crc-sp-3:SP-45.9	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-46	crc-sp-3	crc-sp-3:SP-46	6	2	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-47	crc-sp-4	crc-sp-4:SP-47	6	3	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-48	crc-sp-4	crc-sp-4:SP-48	6	3	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-50	crc-sp-4	crc-sp-4:SP-50	6	3	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-51	crc-sp-4	crc-sp-4:SP-51	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-1	crc-tpw-1	crc-tpw-1:TPW-1	5	0	2	Read=3	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-3	crc-tpw-1	crc-tpw-1:TPW-3	9	0	5	Grep=1;Read=3	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-6	crc-tpw-1	crc-tpw-1:TPW-6	8	3	3	Read=2	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-7	crc-tpw-1	crc-tpw-1:TPW-7	7	3	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-8	crc-tpw-1	crc-tpw-1:TPW-8	6	3	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-9	crc-tpw-1	crc-tpw-1:TPW-9	7	3	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-10	crc-tpw-1	crc-tpw-1:TPW-10	6	0	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-11	crc-tpw-1	crc-tpw-1:TPW-11	8	3	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-12.1	crc-tpw-1	crc-tpw-1:TPW-12.1	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-12.2	crc-tpw-1	crc-tpw-1:TPW-12.2	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-12.3	crc-tpw-1	crc-tpw-1:TPW-12.3	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-13.1	crc-tpw-1	crc-tpw-1:TPW-13.1	7	1	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-13.2	crc-tpw-1	crc-tpw-1:TPW-13.2	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-14	crc-tpw-1	crc-tpw-1:TPW-14	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-15	crc-tpw-1	crc-tpw-1:TPW-15	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-16	crc-tpw-1	crc-tpw-1:TPW-16	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-17.1	crc-tpw-1	crc-tpw-1:TPW-17.1	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-17.2	crc-tpw-1	crc-tpw-1:TPW-17.2	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-18	crc-tpw-1	crc-tpw-1:TPW-18	7	2	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-19	crc-tpw-1	crc-tpw-1:TPW-19	7	0	5	Read=2	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
TPW-20	crc-tpw-2	crc-tpw-2:TPW-20	10	4	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-0	crc-wq	crc-wq:WQ-0	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-1	crc-wq	crc-wq:WQ-1	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-2	crc-wq	crc-wq:WQ-2	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-3.1	crc-wq	crc-wq:WQ-3.1	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-3.2	crc-wq	crc-wq:WQ-3.2	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-4	crc-wq	crc-wq:WQ-4	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-6	crc-wq	crc-wq:WQ-6	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-7	crc-wq	crc-wq:WQ-7	1	0	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-8	crc-wq	crc-wq:WQ-8	3	1	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-9	crc-wq	crc-wq:WQ-9	1	0	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-10	crc-wq	crc-wq:WQ-10	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-11	crc-wq	crc-wq:WQ-11	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-12	crc-wq	crc-wq:WQ-12	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-13	crc-wq	crc-wq:WQ-13	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-14.1	crc-wq	crc-wq:WQ-14.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-14.2	crc-wq	crc-wq:WQ-14.2	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
WQ-15	crc-wq	crc-wq:WQ-15	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
